No;Tweet;Sentiment
522;Retro legenda powraca? Tak! Kto z was ją jeszcze pamięta? #NES #Retro #gaming #gry #DoubleDragon;neutral 
523;Skoro jest trochę wolnego, to czemu by nie zagrać w coś co przypomni stare lata? #retro #pixelart #gry #NES;neutral 
524;Jeśli lubicie #retro #komputery to polecam świetny tekst @MacWyznawca . @e_r_a_extreme @pemmax @retrocompmuseum http://myapple.pl/posts/12833-computer-94-kolonia-czyli-nadzieja-umiera-ostatnia …;neutral 
525;Fura wspomnień czyli 100 gier z DOS-a w 10 minut :D #retro #nostalgic #DOSgames;neutral 
526;#Pebble #watchface w stylu #retro #mac #apple #macintosh;neutral 
527;@perchal Ja chodzę w domu w brazylijskiej koszulce Romario i mam angielski t-shirt z napisem Moore, to dopiero dobre :D #Retro @necriz08;neutral 
528;Sport motocyklowy w #PRL bez cenzury. http://www.caferacer.com.pl/?page_id=9041  #motocykle #WSK #CafeRacer #vintage #wyścigi #race #motorcycle #wspomnienia;neutral 
529;Piekne byly kiedys te butelki na oranzade #vintage;happy
530;Śnieg, śnieg :) #snow #winter #zima #vintage #vintagestyle #lifestyle #love #like #style #design… https://www.instagram.com/p/BPQLdhxB4RN/;happy
531;W #Nomos #Audio #vintage każdy sprzęt jest sprawdzany i testowany zanim trafi na półkę.;neutral 
532;Schody do lasu #forest #nature #las #wlesie #vintage #snow #winter #stairs #dark #darkforest… https://www.instagram.com/p/BPNBZargJGf/;neutral 
533;@Pipen_7 myślę że Dani tym strojem oddał hołd do #vintage stroju Messiego xD;neutral 
534;U mnie dzisiaj tak bajkowo i śnieżnie:) #snow #zima #winter #vintagestyle #vintage… https://www.instagram.com/p/BO47UD7hP93/;happy
535;Pochmurno dzisiaj, dlatego posyłam Wam światło z blasku świec:) #vintagestyle #vintage… https://www.instagram.com/p/BOzU0VJh6GG/;neutral 
536;;
537;Widzieliście już pokaz #SpragnieniPiękna? :) Więcej info ? http://bit.ly/2iEN54P  #przyjacieleMNW #artdeco #modernizm;neutral 
538;#makijaż na #poniedziałek i od razu #lepiej #piękna jest ta paletka #artdeco z kolekcji… https://www.instagram.com/p/BNEJj01A3nW/;happy
539;Tak mnie dziś zmalowali na spotkaniu z nowościami #artdeco jak wyszło? #bedepiekna #me #i… https://www.instagram.com/p/BKYsZM5g0tE/;neutral 
540;MV #Kalakala - zapomniany #prom w stylu #ArtDeco #ciekawostka #USA http://www.smartage.pl/mv-kalakala-zapomniany-prom-stylu-art-deco/ …;neutral 
541;A jednak jest ktoś skuteczniejszy od #Kaczyński #Trump potrzebował paru dni żeby zniszczyć konstytucję, Prezes kilku miesięcy;discouraged 
542;Prześladowania dziennikarzy w USA. To są właśnie standardy #Trump.a do których tak pieje polska prawica. Międzynarodówka zamordystyczna.;discouraged 
543;Większość zapowiedzi #Trump-a szkodzi Polsce.Dlaczego więc polska patriotyczna prawica tak go uwielbia? http://kulturaliberalna.pl/2017/01/24/donald-trump-prawica-polska/ …;discouraged 
544;#Trump też miał przegrać z kretesem, a Brexitu miało nie być :);neutral 
545;Donald #Trump ocenzuruje wyniki niewygodnych badań? Naukowcy próbują temu zapobiec;depressed
546;Media: #Trump zamierza zachować #Comey.a na stanowisku szefa FBI;neutral 
547;#Trump podpisał dekret zakazujący finans. przez państwo organizacji międzynarodowych zajmujących się m.in. aborcją. Na foto sami faceci;depressed
548;Donald Trump. Chciwy i napalony gówniarz, który siedzi w każdym z nas! http://wyborcza.pl/magazyn/7,124059,21272128.html …;depressed
549;#Trump zaczyna spełniać #obietnicewyborcze. #NAFTA do renegocjacji, #TPP do rozmontowania: http://bit.ly/2kcvsKH  #USA;neutral 
550;Epoka post-prawdy w całej krasie: prezydent #Trump głosi, że było 5 MILIONÓW oszukańczych głosów. Bez dowodu nawet jednego. Prawda umarła.;depressed
551;Elity dziwią się, że przybyło radykałów. Przez #socialmedia łatwiej ich usłyszeć. Można to wykorzystać polit. #Trump http://www.tvn24.pl/magazyn-tvn24/polak-odkryl-polityczna-bombe-atomowa-to-koniec-demokracji-jaka-znamy,79,1628 …;neutral 
552;Nie rozumiem, jak Amerykanie mogą uważać, że ten przerażająco mały człowiek może przywrócić wielkość ich krajowi. #Trump;discouraged 
553;Jak tak patrzę co #Trump podpisuje od objęcia urzędu, to przewiduję, że #Soros pierdolnie na zawał lub wylew do tygodnia.Góra dwa tygodnie;discouraged 
554;no i szok. #Trump po prostu zabrał się za rządzenie #korektapolityki na serio;neutral 
555;@POTUS w trzecim dniu urzędowania podpisał prawo zakazujące finansowania organizacji promujących aborcję, #dobrazmiana #Trump;neutral 
556;Cierpliwości, administ. #Trump-a okrzepnie, będzie po staremu - uspokaja @LinkeviciusL, szef MSZ #Litwa mój wywiad http://wyborcza.pl/7,75399,21280268,cierpliwosci-administracja-trumpa-okrzepnie-i-bedzie-po-staremu.html …;calm
557;"Projekt ""Ścieżki rowerowej przy j. Głębokim"" którego jestem współautorem wygrał w tegorocznym #SBO. Dziękuję. #Szczecin #rower #bieganie";happy
558;Na Dobranoc Ładny #rower...;happy
559;#Łodź Będzie więcej stacji roweru publicznego @DomaszewiczB #rower #transport https://www.radiolodz.pl/posts/32410-bedzie-wiecej-rowerow-miejskich-w-lodzi …;neutral 
560;#bikestats #rower 5/17 Sobotni taniec po lodzie + 4x gleba https://goo.gl/fb/BTGc3v ;calm
561;Żeby #rower publiczny dało się tak łatwo rozmieścić. #Łódź zasługuje na dobrze skrojony system! Zobacz video…;neutral 
562;Anita Demianowicz – wywiad z podróżniczką (nie tylko) rowerową: http://buff.ly/2jhl1We  #rower #podróże @banita_travel;neutral 
563;Gdy pada deszcz lub śnieg, nie oznacza to że trzeba odstawić #rower. Wystarczy pałatka/ponczo/peleryna i jazda! http://fb.me/152zgrRUW ;neutral 
564;Dzień dobry soboto. Czas na #rower Widzieliście kiedyś ulice Kopenhagi?;neutral 
565;Zimą się nie poddajemy. Kto z nami jeździ na rowerze? #igerswroclaw #wroclaw #rower http://ift.tt/2jFxDsV;neutral 
566;Łódzki #rowerpubliczny w 20 największych systemów na świecie (nie licząc Chin i USA) Ponad 200 stacji, jak dla mnie WOW! #lodz #bike #rower;happy
567;#bikestats #rower 2/17 Taką zimę to ja uwielbiam https://goo.gl/fb/GvWxou;happy
568;16% mieszkańców @strasbourg.a jeździ do pracy #rower.em. To najlepszy wynik wśród wszystkich francuskich miast. (1/2);calm
569;Rower, auto czy komunikacja miejska? Wyniki wczorajszej sondy http://bit.ly/2jIRF2N  z @Olsztynska #olsztyn #MPK #rower;neutral 
570;"Kto powiedział, że #zimoweszaleństwo to tylko #narty lub #snowboard? @ksMarekLis - to #rower kogoś ze znajomych? ;)";neutral 
571;#Zima ?za oknem to i rowerzystów mniej Ale statystyki za rok 2016 warto przejrzeć. Wyniki pomiarów natężenia ruchu #rower.owego #Wiedeń;neutral 
572;Najlepsi polscy zawodnicy #MTB o planach na nadchodzący sezon: http://win.gs/2jWduzr  #rower #bike;neutral 
573;Obniżenie krawężników pomaga nie tylko #rower'zystom. Wózkersi i rodzice też mogą mieć lżej;neutral 
574;Każda pora dobra na rower? #zima #gdynia #igersgdansk #rower #igerspoland https://www.instagram.com/p/BPQj50gg0jm/ ;neutral 
575;Dobre wieści dla rowerzystow w Elku #ełk #rower #most;happy
576;Nie było aż tak #zimno tylko wiatr upierdliwy. Za to fajny szybki powrót po śniegu przez las #rower @wahoofitness @ScienceinSport #bike;happy
577;Mróz? Nie zauważyłem :D #Toruń #rower #zima;calm
578;Wszystkiego najlepszego w nadchodzącym roku :);happy
579;http://bit.ly/pT2016-052  | Wystawa obrazów Jerzego Edwarda Stachury w Muzeum Uniwersyteckim. Po nowym roku polecam Wam ją odwiedzić. :);calm
580;"Park Glazja i piękna złota... zima ;) #Toruń/#JakubskiePrzedmieście";calm
581;Fort I cofnięty w czasie. Sepicznie i z klimatem. #Toruń / #Winnica #TwierdzaToruń;calm
582;Co raz mocniej widać, jak bardzo realne jest odbudowanie Polski! #PLLOT #PKP #Kopalnie;neutral 
583;Okazuje się, że #PKP #Intercity może zarabiać. 47 mln zł zysku za 2016 r., na plusie pierwszy raz od 9 lat.;happy
584;Dodatni wynik finansowy i ponad 7 mln pasażerów więcej! Podsumowaliśmy rok 2016. https://www.intercity.pl/pl/site/o-nas/dzial-prasowy/aktualnosci/dodatni-wynik-finansowy-i-ponad-7-mln-pasazerow-wiecej-pkp-intercity-podsumowuje-2016-rok.html?utm_source=twitter&utm_campaign=podsumowanie2016&utm_medium=referral … #pkpintercity #pkp;happy
585;#PKP PLK mają 16 ofert na linię #kolej.ową Otwock-Lublin - od 2,6 do 3,4 mld zł. #Budimex dwa razy najtańszy http://bit.ly/2jWE3mN  @wnppl;neutral 
586;"A #PKP do stolicy juz z 35 min do godziny opóźniony ... Mógł człowiek z godzinę jeszcze pospać ;/";discouraged 
587;od jakiegoś czasu na myśl o mieście #Kutno chce mi sie płakać. #pkp #trojkatbermudzki;depressed
588;@PKP_PLK_SA jak może być wagon pierwszej klasy bez gniazdek? Jak mam teraz pracować przez 8 godzin?;upset
589;Obiecałem córce, że zje obiad w pociągu w drodze do Zakopanego w tym roku. Niestety #dobrazmiana remontuje wagon barowy #Tatry #Termos #PKP;discouraged 
590;#PKP coraz gorsze :/ 5 godzin opóźnienia #niepolecam;upset
591;Dzień, w którym nastąpi optymalizacja temperatury w pociągach, będzie dniem wymiany taboru. Echh... #pkp zimą.;discouraged 
592;#PKP Wloszczowa Polnoc, pendolino staje w metropolii gdzie nie potrafi zlapac zasieg komorki;discouraged 
593;Nie po to kupuję wczesniej bilet #PKP, żeby w pociągu okazało się, ze miejsce kolo okna jednak kolo niego nie jest.;upset
594;Ten moment gdy kupując bilet pkp na tel, dopiero na peronie orientujesz się że jest bez miejscówki. -,- #pkp #intercity #podroze;depressed
595;W pociagu info o kolejnych stacjach jest podawana tak cicho, ze nawet nietoperz by nie usłyszał #pkp #intercity;discouraged 
596;#pkp #intercity IC 13107 czy Was totalnie pogrzało? +30 w pociągu #likeonthebeach;upset
597;#pkp @polregio_pl po godzinie czekania komunikacja zastępcza..podróż do domu zamiast 2h potrwa 4h.. #piątek #piła #kolej;upset
598;Która spółka-córka @PKP_PLK_SA #PKP odpowiada za utrzymanie peronów na stacjach w #Warszawa i czemu wszyscy jej pracownicy mają dziś wolne?;depressed
599;Czy Was też irytuje osobnik,gadający bez przerwy i bez sensu przez komórkę w pociągu. #PKP;upset
600;#PKP To nie pomyłka - remont potrwa 2 lata, a całkowicie bez połączenia kolejowego z Poznaniem będą m.in. Konin i... http://fb.me/18n30pkT0 ;discouraged 
601;Uprasza się #PKP o brak opóźnień, bo czekamy na ekipę z #MJCCKrkCrew;calm
602;Zimą nie da się jeździć mówili. Nikt nie jeździ mówili. #rower #bicycle #lodz #rowerowalodz https://www.instagram.com/p/BO-J7_FAREo/;calm
603;"indeterminate jak Wy, ale ja tam jeżdżę... ;) #zima #rower #biking";calm
604;Dobrze było :) #rower #bike #śnieg #snow #zima #winter @ Piotrkowska https://www.instagram.com/p/BO0dTO-gGHl/ ;happy
605;Rowerem do Stawów Milickich: http://bit.ly/2hMMAHT  :) Obowiązkowo! @m_kokoszkiewicz @wyborczawroclaw @zmigrod @trzebnica #rower #turystyka;calm
606;Trening Noworoczny zaliczony. Warunki świetne: mrozik znośny a brak błota- bezcenny. Sezon rowerowy 2017 uważam za otwarty :) #rower #mtb;happy
607;News dla rowerzystów! Wkrótce na mapie okolic Lubina pojawi się nowa, ciekawa trasa. http://buff.ly/2hTaVJK  #Lubin #rower;neutral 
608;Parkingi przy dworcu #PKP #Łódź Fabryczna są niskie, więc jeśli #rower to jedź na nim. A jak opisujemy i...;neutral 
609;#Pomysłnaweekend: #DolinaBaryczy to idealne miejsce nie tylko na rowery :) http://buff.ly/2ihP3Zb  #podróże #travel #Polska #rower #Poland;calm
610;Kolejny pomysł na #rower w mieście: #bike2box http://bit.ly/2iimHhx  @ForbesPolska #przesiadka #Strida;calm
611;Pod choinkę z najlepszymi #rower.owymi życzeniami, wyremontowany łącznik Montelupich z Warszawską i Pawią. #ibikekrk @krakow_pl @lovekrakow;neutral 
612;Zimowych rowerzystów co roku więcej. Za to zimy coraz mniej. #RoadRage kierowców - bez zmian. #rower;neutral 
613;Endorfiny uzupełnione #rower;happy
614;Freeride przez wielkie F! Sprawdźcie edit #JamesDoerfling http://win.gs/2h7CNta  #downhill #FMB #rower;happy
615;#rower #wiatr Skorzystałam z pr. do jazdy chodnikiem. Po 50 m. wróciłam na jezdnię. Tam sucho, równo i szeroko. Polscy @piesi to herosi.;discouraged 
616;Prawie połowa Polaków jeździ na rowerze. #Rower stał się bardziej popularną dyscypliną niż #bieganie #sport #badania http://bit.ly/2gFo2O6 ;neutral 
617;"Klejnot dla mojej #Damka! #Dzwonek #Oi od @knog w końcu dojechał ;-) #bike #rower #ring #bell @… https://www.instagram.com/p/BNpeupNBECM/ ";happy
618;Przyglądamy się najlepszym rowerowym #tatuaż.om http://win.gs/2g7kGVZ  #tattoo #bike #rower;calm
619;Bo warto spełniać marzenia. W czerwcu pewnie kolejny. #dream #marzenia #tattoo #tatuaż;happy
620;No to pierwszy cel na 2017 już mam :D #tatuaż #kaktusik;happy
621;Się działo... zdjęcie z połowy sesji #tattoo #warsaw #trip #tatuaz #tattoogirl #tattoos #tattooing #neotraditional;happy
622;#tatuaż Choć nie jestem zwolennikiem tatuaży - to dobry nie jest zły;happy
623;Pierwsze dzieła z zakończonej aukcji dla Sopockiego Uszakowa wykonane przez Myśli Wytatuowanych Ferajna <3 #tattoo #tatuaz #sopockieuszakowo;happy
624;Szukam dobrego tatuażysty w Krakowie bądź okolicach? Ktoś coś? #tweetme #tatuaż #tattoo #helpme #rt #wywiadztwitterowiczami;neutral 
625;Moja cudowna jaskółka #tatuaż #jaskółka #MójTatuaż #uwielbiam #tattoo #MyTattoo #swallow… https://www.instagram.com/p/BKSngehAzbR/;happy
626;PILNE szukam ZAJEBISTEGO a nie dobrego tatuażysty w Warszawie lub okolicach! #Tatuaż #Warszawa;neutral 
627;"Właśnie się dowiedziałam, że przestałam być ""mądra"" w momencie, w którym zrobiłam sobie tatuaż. Good to know! #tatuaż #tattoo #stereotype";calm
628;"#tattoo #design #sweetcat #wings #tatuaż #projekt Mój drugi projekt w życiu <3 w końcu spełniam marzenia :"")";happy
629;Takie cuda tylko z fb #tatuaz #zrobsenaklaciegolebia;happy
630;To jest pomysł na następny ...... #inspiracja #tatuaż #WŻyciuPiękneSąTylkoChwile;happy
631;Przychodzi taki etap w życiu, którym stwierdzasz - czas na tatuaż #tattoos #tatuaż Jakie miejsce w B-stoku polecacie?;neutral 
632;Perfect #tattoo #tatuaż;happy
633;FBI pracuje nad systemem rozpoznającym tatuaże http://goo.gl/njHqmU  #tatuaż;neutral 
634;No i jest #tattoo #tattoogirl #new #blacktattoo #mamija #tatuaż #dobryponiedziałek… https://www.instagram.com/p/BGUPCgNFDYO/;happy
635;Body art, czy patologia? Tatuaż okiem Polaka i Niemca http://www.mypolacy.de/serwisy/kafeteria/z-pogranicza-obu-kultur-i-rzeczywistosci/body-art-czy-patologia-tatuaz-okiem-polaka-i-niemca-.html … #Bodyart #Tatuaż #Niemcy #Polska;calm
636;Aż mi dech zaparło w piersi gdy to zobaczyłem... Cudo. #tatuaż #tatoo;happy
637;Już wiem! Jestem pewna,że chcę właśnie taki #tatuaż Pozostaje tylko poczekac na koniec lata. #tattoo;happy
638;Zostały już tylko godziny. Nie mogę się doczekać. #tatuaż;happy
639;Husarski motyw spod igieł Loco @mm_loco #tattoo #black #blackflashwork #iblackwork #tattoo#tatuaz #tatu #tatuaż #b…;calm
640;"Spelniaj swoje marzenia ! Warto ! ;) #happy #tatuaż #aparat #memoriesstayforever #smile";happy
641;#tattoo #watercolor #tattoos #new #tatuaż #Art #yolo pierwszy, ale nie ostatni https://www.instagram.com/p/BECDEKSlepX/;happy
642;No i jest. Kolejny do kolekcji. Dzięki goodfornothing_art #nożyczki #nożyce #tatuaż… https://www.instagram.com/p/BCRH43nFDZk/ ;happy
643;W koncu! #tatuaż #tattoo #instagirl #polishgirl #instatattoo #first #kocham #cudo;happy
644;Kolejne urodziny = kolejny #tatuaż! Czyli nowa dziara @Louis_Tomlinson.a: http://s.viva-tv.pl/L2hB  #directioners #1d;happy
645;Dom Generalny – Dni Duchowości Rodziny Salezjańskiej 2017: #Rodzina Księdza Bosko a zaangażowanie na rzecz rodzin ;neutral 
646;To praca jest dla człowieka, a nie człowiek dla pracy. Nie tłumaczmy się, że nie mamy czasu dla bliskich osób, bo mamy tyle pracy. #rodzina ;neutral 
647;Dziś w @PolskieRadio24 rozmawialiśmy o tym, kim jest współczesny senior. #seniorzy #rodzina #ngo;neutral 
648;Dziś w @TygodnikWPROST artykuł o seniorach i ich roli w rodzinie i społeczeństwie. #seniorzy #rodzina #politykasenioralna;neutral 
649;Moje dziecko boi się przebywać samo i ma problemy z zasypianiem #sensity #dziecko #zasypianie #wychowanie #rodzina http://buff.ly/2k86En1 ;depressed
650;Marian Opania kończy dziś 74 lata. Wszystkiego najlepszego! Którą rolę lubicie najbardziej? (Fot. Wikipedia) #wspomnienia #rodzina ;neutral 
651;Wspólnie z @MC_GOV_PL ułatwiliśmy rodzicom składanie on-line wniosków o pomoc. #rodzina, #Urząd24, #eGO;neutral 
652;Wg szacunków @GUS_STAT w 2016 r. urodziło się 385 tys. dzieci. Szczegóły http://stat.gov.pl/obszary-tematyczne/inne-opracowania/informacje-o-sytuacji-spoleczno-gospodarczej/informacja-o-sytuacji-spoleczno-gospodarczej-kraju-w-2016-r-,1,56.html … #rodzina ;neutral 
653;no więc życie mopem się toczy i jak ten bałagan tak sam się produkuje? #bea_herba #rodzina #dziecko;depressed
654;Państwa - Miasta. Gracie jeszcze czasami? (fot. demotywatory.pl) #wspomnienia #rodzina ;happy
655;Wiktor Zborowski: muszę objaśniać wnuczce świat, choć sam go nie rozumiem http://www.lifestyle.newseria.pl/newsy/wiktor-zborowski-musze,p1218366758 … #gwiazdy #rodzina ;discouraged 
656;Chcesz wiedzieć, kim byli Twoi przodkowie? Dowiedz się z @MyHeritagePL na myheritage.pl! #wspomnienia #rodzina;neutral 
657;dzięki programowi #Rodzina 500+ część dzieci wyjedzie na zimowe ferie po raz pierwszy :-);happy
658;Zdjęcia rodzinne: Jak dwie krople wody: https://blog.myheritage.pl/2015/02/zdjecia-rodzinne-uderzajace-podobienstwo/ … #wspomnienia #rodzina;neutral 
659;#WodzisławŚląski wspiera rodziny wielodzietne w ramach #Rodzina 3+. #Program zyskał właśnie nowego partnera.;neutral 
660;5 rzeczy, które zrozumieją tylko drugie dzieci: https://blog.myheritage.pl/2015/07/5-rzeczy-ktore-zrozumieja-tylko-drugie-dzieci/ … #wspomnienia #rodzina;neutral 
661;#Miłość i #rodzina ponad wszystko...;neutral 
662;"„Co to jest w dziadkach, że są tak kochani?... Jeśli dzieci mogą poczuć to...mogą dojrzewać w szybkim tempie"" B. Cosby #dzienbabci #rodzina";happy
663;Trochę wzruszeń na sobotni poranek... Udanego dnia! :) #sobota #weekend #sport #rodzina #motywacja #duma;happy
664;Sprawdź jak przygotować wspólne wyjście z dzieckiem na lodowisko :);happy
665;@monikapisze #tabu o co poszło? Przypominam #Instagram jak #twitter jest #publiczny, wszyscy widzą co dodajesz. Jest zawsze #rodzina :);happy
666;Program „Rodzina 500 plus” w Małopolsce  #500plus #rodzina #Małopolska;neutral 
667;Pamiętacie takie fartuszki i tarcze szkolne? (fot. Wikipedia) #wspomnienia #rodzina ;neutral 
668;#PrzeglądPrasy: dziś o #praca, ułatwianiach dla #rodzina w składaniu wniosków on-line, #Urząd24 w @gazetaprawnapl.;neutral 
669;Pozycja o małżeństwie. Szczególnie dla młodych osób #książka #Audiobook #rodzina #Małżeństwo #Kościół;neutral 
670;"""Związek - tak jak świat - rozwija się od kryzysu do kryzysu"" #milosc #rodzina #rozwod #slub";neutral 
671;Minister @E_Rafalska w #KRPM: po sukcesie #rodzina500plus, ułatwiamy rodzicom składanie kolejnych wniosków o świadczenia. #rodzina, #Urząd24;happy
672;Zgadzam się z @R_A_Ziemkiewicz w kwestii wykorzystania siostry #Kijiwski.ego #KOD #rodzina #wywiad;depressed
673;Rodzinny słoik z pamiątkami 2017 (odświeżamy nasz wpis z 2016):;neutral 
674;"""Każde dziecko potrzebuje innej uwagi, innej miłości, innego sposobu na wyciszenie"" #wioskidziecieceSOS #rodzina";neutral 
675;Ewa Demarczyk obchodzi dziś 76 urodziny. Wszystkiego co najlepsze! Czy macie jakieś ulubione utwory? (fot. Wikipedia) #wspomnienia #rodzina ;happy
676;Pan Bóg jest potrzebny w rodzinie, z NIM jest łatwiej.. #człowiek #Bóg #rodzina;neutral 
677;Zaginęła Ewelina Kardacz. #Rodzina i #policja proszą o #pomoc #zaginieni #Piła #Chodzież #Szamocin @AlertPoznan;depressed
678;#Rodzina: Wspólne posiłki budują więzi rodzinne:#wspomnienia;neutral 
679;Gdy ma się małe dziecko to kawa wypita na spokojnie na kanapie smakuje inaczej #rodzina #rodzicielstwo #kawa #dzieci;neutral 
680;Pamiętacie? Co to za bajki? (Fot. Hity PRL) #wspomnienia #rodzina ;neutral 
681;Czy Twój przodek był królem, a może pisarzem? Sprawdź z @MyHeritagePL na  #rodzina;neutral 
682;To był dobry dzień, obiad, domowy sernik, razem, tylko niektórzy z gorączką:(. Dobranoc.;indeterminate
683;"Z piesem na spacerze :) #zima #pies #rodzina #weekend #chillout
";happy
684;gryzmolenia ciąg dalszy ... ;neutral 
685;Kapłan wyjaśnia, jak chronić swoje dzieci przed działaniem złego;neutral 
686;#Radwanice: spalili ciało noworodka w piecu. Jest akt oskarżenia #rodzina #Patologia ;indeterminate
687;Co się zmienia w 2017 roku? Sprawdźcie i podajcie dalej! #rodzina, #praca, #seniorzy;happy
688;Zabawy w zeszłym roku :) Great fun last year :) #zabawa #rodzina #dzieci #zima #gruszki #śnieg #ubaw #fun #winter #goodday #family #kids;happy
689;Już za parę dni, za dni parę.. spotkamy sź nad morzem :) #Bałtyk #Ferie #dzieci #zima #Rodzina #Urlop #Narty;happy
690;Piekne kartki,pamiec,slowo. Dziekuje #Rodzina;happy
691;W Wejherowie na świat przyszły trojaczki: Franek, Leon i Antonina... ;neutral 
692;#Badania obowiązkowe i nieobowiązkowe dla noworodków ;neutral 
693;Dziękuję za fantastycznie spędzony czas z rodziną ! #rodzina;happy
694;Emilka, lat 12 ?????? Tort... czego tutaj nie ma?!?! ?? Ale wszystkim się podoba ??;happy
695;Posłuchałam Męża ... zamiast kotleta ... tort ;neutral 
696;Dokładnie tak #broń #rodzina #życie #zdrowie Traktują nas jak nieogarniętych czubów.Powinno być nie karany,badania ,strzelnica i już.;upset
697;@mruczino wiem - ale przecież oni wrzeszczą że wszystko opierają na konstytucji - więc niech przywrócą PRAWO DO BRONI - NASZE PRZYRODZONE;upset
698;"Świąteczny czas spotkań trwa. Czekamy na Was od 18:00 ;) ";happy
699;U cioci najlepiej :);happy
700;I jak co roku pradziadek daje popis na harmonijce, a Agatka na nowym bębenku :) #swieta #rodzina…;happy
701;Rodzinnie dziś tak bardzo :) #wigilia #rodzina ;happy
702;Bardzo wesołych i szczęśliwych Świąt Kochani! ;happy
703;#SKANDAL! Opiekunka zapomniała o dziecku. Zostało w autobusie;upset
704;życie na szczęście nie kończy się na polityce. Są jeszcze sprawy ważniejsze od kwestii życia i śmierci. #futbol #rodzina #przyjaźń #fairplay;happy
705;I u nas wyrosła piękna, zielona, pachnąca lasem choinka :) #bozenarodzenie #święta #rodzina #wifeandhusband #bombki #łańcuchy #światełka;happy
706;#Małżeństwo i #rodzina są instytucjami, które muszą być promowane oraz bronione. http://buff.ly/2hyUWDs ;neutral 
707;Tacie zadzwonil telefon i zamiast go po prostu odebrac,zaczal tanczyc. #rodzina;neutral 
708;Matka i córka o sobie i swojej relacji ;neutral 
709;A może rodzinna #gra terenowa w @TeatrSzekspir? :) Czas start! :) #rodzina #weekend #gdansk #teatr;happy
710;"tak się jakoś napisało ;) kociej soboty";happy
711;Słońce w zimie nam nie straszne :) #córka #Amelia #niedziela #rodzina ;happy
712;W Polsce spada liczba rodzin wielodzietnych, rośnie bezdzietność. #rodzina #dzieci #demografia @GUS_STAT;neutral 
713;Bo w życiu zawsze dla kogoś jestem córką,siostrą,żoną,synową,mamą...nigdy nie będę nikim :) #rodzina;happy
714;"W rodzinie, która się modli, nigdy nie może zapanować absolutne zwątpienie czy wrogość. ""Głód Boga""";neutral 
715;polityka prorodzinna władz miasta #Łodź;neutral 
716;Michał Figurski: zawsze mogłem liczyć na bliskich. Choroba tego nie zmieniła;happy
717;I ten błysk w oku radosny:);happy
718;Active Day w Marenie to super wypoczynek w strefie aqua dla Ciebie i Twoich najbliższych! #Mare #Rodzina #ActiveDay #Wypoczynek;happy
719;Już za niecałe 100 zł miesięcznie możesz zapewnić szybkie leczenie dla swojego dziecka :) #dzieci #rodzina;happy
720;Mój ojciec musi mieć kondycję. Przecież Tobi zupełnie się nie słucha, więc indeterminate jak go wyprowadza bez smyczy.:(;depressed
721;Właśnie takich małżeństw nam potrzeba :);happy
722;Lubię lodowiska ale preferuje jeżdżenie na łyżwach a nie samochodem:( Doslizgalam się dzisiaj do przedszkola, taka #pogoda #ślisko #deszcz;depressed
723;Polecam ale będzie dobrze głowa do gory Damy rade bo idzie na lepsze.#Pogoda&Radar by;happy
724;"Dzień dobry! :) #Weekend coraz bliżej. ;-)";happy
725;Związek powinien być twoją bezpieczną przystanią ;calm
726;Zrezygnowanie z standardowej TV to jedna z lepszych decyzji 2016, polecam #spokoj;calm
727;DIY: mini ogródek zen;calm
728;Jak odnaleźć spokój ducha? #spokój, #wyciszenie, #harmonia;calm
729;chyba lepiej będzie jak pójdę juz spać #spokój;calm
730;Życie to szalona, cudowna podróż;happy
731;Według badania CBOS z 2016 roku Polacy za bezcenne uważają następujące wartości: #rodzina, #zdrowie, #spokój;neutral 
732;Zostawić w spokoju #obrazki #aforyzmy #sentencje #besty #samopoczucie #spokój #życie #cytaty #cytat #mem #memy;calm
733;Święta są okresem odpoczynku, dzięki nam resztę roku też możesz przeżyć bez stresu! #święta #spokó;calm
734;W końcu będzie cisza na TL, Messi pobije rekord dziś (kuponik poszedł) i dostanie puchar Weszło a Cris zgarnie złotego balona:) #spokój;happy
735;#czekolada na gorąco. #Cisza , #spokój;calm
736;Sielsko... #bieszczady #Wetlina #spokoj #cisza #deszcz #rynna #jesień #autumn ;calm
737;#spokój #cisza #podróże #Travel #travelpackages #transport #slowlife #slowlive;calm
738;Naprawdę spokojne życie w willi w Kopenhadze. #luxuryhome #spokój #pogodny #ogród ;calm
739;Niedzielne pieszczoty #coffee #niedziela #poranek #radość #poprostu #spokój #skupienie;calm
740;Herbata z cytryną na bolące gardło do tego brzdękanie na ukulele :) Kocham takie wieczory<3 #wieczór #herbata #spokój;happy
741;#cisza #spokój #natura - tylko te elementy gwarantują efektywny odpoczynek :) ;calm
742;Dzisiaj póki co u nas nic, się nie dzieje :( ;discouraged 
743;@MSwierzynka Ja fatalnie reaguję na przemoc! Jestem żywym przykładem na to, że przemoc rodzi przemoc. Gniew mnie ogarnia. #spokój;upset
744;#relax #spa #spokój #tumidobrze #spacer #życiebiegniewolniej #otwock;calm
745;Polska w jednym ujęciu #lato #polska #spokój #dziecko #królik #miłość #wolność #cisza #dzieciństwo #wieś #nadzieja;calm
746;Najpiękniejsze miejsce świata. #mazury #zachod #spokoj;calm
747;"Siedzę na parapecie i podziwiam zjawisko jakim jest #deszcz #spokój #wyciszenie #chłodniejszatemperatura <3 moje włosy muszą mi wybaczyć! ;D";calm
748;Relax :-) #relax #spokoj #cisza #vexel #disco;calm
